VEL: (16.08812, -7.5572367, -21.266354) ROT: (-0.45148626, -2.9185827, 1.0013981)
# 1 Sample: 45 Time: 0.50908196 POSN: (-14.3706875, 13.575094, 4.3713827)
VEL: (-9.558949, 2.608898, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 45 Time: 0.50908196 POSN: (-7.767962, 8.757056, -8.416915)
VEL: (-20.464504, -1.9713881, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 46 Time: 0.274355 POSN: (11.41102, 9.908111, 1.6285181)
VEL: (16.08812, -8.211236, -21.266354) ROT: (-0.45148626, -2.9185827, 1.0013981)
# 1 Sample: 46 Time: 0.274355 POSN: (-14.052055, 13.74713, 5.5167003)
VEL: (9.558943, 2.4620953, 16.486965) ROT: (-2.2166817, -3.0223832, 0.51129526)
# 2 Sample: 46 Time: 0.274355 POSN: (-9.132262, 8.59838, -9.226249)
VEL: (-20.464504, -2.6253884, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 47 Time: 0.150366 POSN: (12.483561, 9.333446, 0.21076107)
VEL: (16.08812, -8.865235, -21.266354) ROT: (-0.45148626, -2.9185827, 1.0013981)
# 1 Sample: 47 Time: 0.150366 POSN: (-13.414791, 13.88402, 6.615831)
VEL: (9.558943, 1.808095, 16.486965) ROT: (-2.2166817, -3.0223832, 0.51129526)
# 2 Sample: 47 Time: 0.150366 POSN: (-10.496562, 8.396105, -10.035583)
VEL: (-20.464504, -3.2793887, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 48 Time: 0.947769 POSN: (13.556101, 8.715179, -1.206996)
VEL: (16.08812, -9.519235, -21.266354) ROT: (-0.45148626, -2.9185827, 1.0013981)
# 1 Sample: 48 Time: 0.947769 POSN: (-12.777527, 13.977309, 7.7149615)
VEL: (9.558943, 1.1540947, 16.486965) ROT: (-2.2166817, -3.0223832, 0.51129526)
# 2 Sample: 48 Time: 0.947769 POSN: (-11.860862, 8.1502285, -10.844916)
VEL: (-20.464504, -3.933389, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 49 Time: 0.61895394 POSN: (14.628641, 8.053314, -2.624753)
VEL: (16.08812, -10.173234, -21.266354) ROT: (-0.45148626, -2.9185827, 1.0013981)
# 1 Sample: 49 Time: 0.61895394 POSN: (-12.140263, 14.026999, 8.814094)
VEL: (9.558943, 0.50009465, 16.486965) ROT: (-2.2166817, -3.0223832, 0.51129526)
# 2 Sample: 49 Time: 0.61895394 POSN: (-13.225162, 7.8607526, -11.65425)
VEL: (-20.464504, -4.5873885, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 50 Time: 0.43058097 POSN: (13.556101, 7.4395957, -3.9438772)
VEL: (-16.08812, -9.45103, -19.786861) ROT: (-0.4514862, -3.5895772, 1.625549)
# 1 Sample: 50 Time: 0.43058097 POSN: (-11.502998, 14.033089, 9.913226)
VEL: (9.558943, -0.15390539, 16.486965) ROT: (-2.2166817, -3.0223832, 0.51129526)
